all medium.n.07 substance.n.01, all substance.n.01 entity.n.01: some medium.n.07 entity.n.01; no medium.n.07 entity.n.01
all state.n.02 attribute.n.02, all attribute.n.02 entity.n.01: some state.n.02 entity.n.01; no state.n.02 entity.n.01
all taxonomic_group.n.01 biological_group.n.01, all biological_group.n.01 entity.n.01: some taxonomic_group.n.01 entity.n.01; no taxonomic_group.n.01 entity.n.01
all restraint.n.06 artifact.n.01, all artifact.n.01 entity.n.01: some restraint.n.06 entity.n.01; no restraint.n.06 entity.n.01
all press.n.02 instrumentality.n.03, all instrumentality.n.03 object.n.01: some press.n.02 object.n.01; no press.n.02 object.n.01
all numerical_quantity.n.01 abstraction.n.06, all abstraction.n.06 entity.n.01: some numerical_quantity.n.01 entity.n.01; no numerical_quantity.n.01 entity.n.01
all leader.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some leader.n.01 entity.n.01; no leader.n.01 entity.n.01
all arrangement.n.02 group.n.01, all group.n.01 abstraction.n.06: some arrangement.n.02 abstraction.n.06; no arrangement.n.02 abstraction.n.06
all muslim.n.01 religious_person.n.01, all religious_person.n.01 entity.n.01: some muslim.n.01 entity.n.01; no muslim.n.01 entity.n.01
all extremity.n.01 part.n.03, all part.n.03 physical_entity.n.01: some extremity.n.01 physical_entity.n.01; no extremity.n.01 physical_entity.n.01
all tree.n.01 plant.n.02, all plant.n.02 living_thing.n.01: some tree.n.01 living_thing.n.01; no tree.n.01 living_thing.n.01
all activity.n.01 act.n.02, all act.n.02 abstraction.n.06: some activity.n.01 abstraction.n.06; no activity.n.01 abstraction.n.06
all workplace.n.01 point.n.02, all point.n.02 object.n.01: some workplace.n.01 object.n.01; no workplace.n.01 object.n.01
all choreographer.n.01 creator.n.02, all creator.n.02 person.n.01: some choreographer.n.01 person.n.01; no choreographer.n.01 person.n.01
all european.n.01 person.n.01, all person.n.01 entity.n.01: some european.n.01 entity.n.01; no european.n.01 entity.n.01
all structure.n.01 whole.n.02, all whole.n.02 entity.n.01: some structure.n.01 entity.n.01; no structure.n.01 entity.n.01
all pathological_state.n.01 physical_condition.n.01, all physical_condition.n.01 abstraction.n.06: some pathological_state.n.01 abstraction.n.06; no pathological_state.n.01 abstraction.n.06
all trademark.n.02 communication.n.02, all communication.n.02 entity.n.01: some trademark.n.02 entity.n.01; no trademark.n.02 entity.n.01
all truth.n.03 abstraction.n.06, all abstraction.n.06 entity.n.01: some truth.n.03 entity.n.01; no truth.n.03 entity.n.01
all chew.v.01 grate.v.04, all grate.v.04 change_integrity.v.01: some chew.v.01 change_integrity.v.01; no chew.v.01 change_integrity.v.01
all person.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some person.n.01 entity.n.01; no person.n.01 entity.n.01
all bovine.n.01 bovid.n.01, all bovid.n.01 animal.n.01: some bovine.n.01 animal.n.01; no bovine.n.01 animal.n.01
all molecule.n.01 thing.n.12, all thing.n.12 entity.n.01: some molecule.n.01 entity.n.01; no molecule.n.01 entity.n.01
all merchant.n.01 capitalist.n.02, all capitalist.n.02 physical_entity.n.01: some merchant.n.01 physical_entity.n.01; no merchant.n.01 physical_entity.n.01
all organic_compound.n.01 chemical.n.01, all chemical.n.01 entity.n.01: some organic_compound.n.01 entity.n.01; no organic_compound.n.01 entity.n.01
all medical_procedure.n.01 abstraction.n.06, all abstraction.n.06 entity.n.01: some medical_procedure.n.01 entity.n.01; no medical_procedure.n.01 entity.n.01
all vessel.n.03 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some vessel.n.03 entity.n.01; no vessel.n.03 entity.n.01
all blister.n.03 cavity.n.04, all cavity.n.04 part.n.03: some blister.n.03 part.n.03; no blister.n.03 part.n.03
all narcotic.n.01 agent.n.03, all agent.n.03 physical_entity.n.01: some narcotic.n.01 physical_entity.n.01; no narcotic.n.01 physical_entity.n.01
