all disgust.n.01 part.n.02, some-not disgust.n.01 dislike.n.02: some-not part.n.02 dislike.n.02; all part.n.02 dislike.n.02
all forestry.n.01 composer.n.01, some-not forestry.n.01 biology.n.01: some-not composer.n.01 biology.n.01; all composer.n.01 biology.n.01
all crooner.n.01 artist.n.01, some-not crooner.n.01 singer.n.01: some-not artist.n.01 singer.n.01; all artist.n.01 singer.n.01
all disciple.n.01 object.n.01, some-not disciple.n.01 follower.n.01: some-not object.n.01 follower.n.01; all object.n.01 follower.n.01
all fluid.n.01 scientist.n.01, some-not fluid.n.01 substance.n.01: some-not scientist.n.01 substance.n.01; all scientist.n.01 substance.n.01
all building.n.01 abstraction.n.06, some-not building.n.01 structure.n.01: some-not abstraction.n.06 structure.n.01; all abstraction.n.06 structure.n.01
all adverb.n.02 belief.n.01, some-not adverb.n.02 modifier.n.01: some-not belief.n.01 modifier.n.01; all belief.n.01 modifier.n.01
all arab.n.01 liquid.n.03, some-not arab.n.01 semite.n.01: some-not liquid.n.03 semite.n.01; all liquid.n.03 semite.n.01
all guitarist.n.01 performer.n.01, some-not guitarist.n.01 musician.n.01: some-not performer.n.01 musician.n.01; all performer.n.01 musician.n.01
all mischief.n.01 navigator.n.03, some-not mischief.n.01 misbehavior.n.01: some-not navigator.n.03 misbehavior.n.01; all navigator.n.03 misbehavior.n.01
all land.n.04 person.n.01, some-not land.n.04 object.n.01: some-not person.n.01 object.n.01; all person.n.01 object.n.01
all vaudevillian.n.01 writer.n.01, some-not vaudevillian.n.01 performer.n.01: some-not writer.n.01 performer.n.01; all writer.n.01 performer.n.01
all defender.n.01 act.n.02, some-not defender.n.01 preserver.n.03: some-not act.n.02 preserver.n.03; all act.n.02 preserver.n.03
all halogen.n.01 abstraction.n.06, some-not halogen.n.01 group.n.01: some-not abstraction.n.06 group.n.01; all abstraction.n.06 group.n.01
all mischief.n.01 entity.n.01, some-not mischief.n.01 misbehavior.n.01: some-not entity.n.01 misbehavior.n.01; all entity.n.01 misbehavior.n.01
all nude.n.03 anthropologist.n.01, some-not nude.n.03 person.n.01: some-not anthropologist.n.01 person.n.01; all anthropologist.n.01 person.n.01
all system.n.06 living_thing.n.01, some-not system.n.06 body_part.n.01: some-not living_thing.n.01 body_part.n.01; all living_thing.n.01 body_part.n.01
all politician.n.01 disputant.n.01, some-not politician.n.01 leader.n.01: some-not disputant.n.01 leader.n.01; all disputant.n.01 leader.n.01
all nigerian.n.01 drug.n.01, some-not nigerian.n.01 african.n.01: some-not drug.n.01 african.n.01; all drug.n.01 african.n.01
all cooling.n.01 regalia.n.01, some-not cooling.n.01 temperature_change.n.01: some-not regalia.n.01 temperature_change.n.01; all regalia.n.01 temperature_change.n.01
all dancing.n.01 writing.n.02, some-not dancing.n.01 psychological_feature.n.01: some-not writing.n.02 psychological_feature.n.01; all writing.n.02 psychological_feature.n.01
all saboteur.n.01 person.n.01, some-not saboteur.n.01 destroyer.n.02: some-not person.n.01 destroyer.n.02; all person.n.01 destroyer.n.02
all affix.n.01 sensitivity.n.04, some-not affix.n.01 bound_morpheme.n.01: some-not sensitivity.n.04 bound_morpheme.n.01; all sensitivity.n.04 bound_morpheme.n.01
all hearer.n.01 educator.n.01, some-not hearer.n.01 perceiver.n.01: some-not educator.n.01 perceiver.n.01; all educator.n.01 perceiver.n.01
all propagandist.n.01 ester.n.01, some-not propagandist.n.01 communicator.n.01: some-not ester.n.01 communicator.n.01; all ester.n.01 communicator.n.01
all string.n.05 plant_part.n.01, some-not string.n.05 sequence.n.01: some-not plant_part.n.01 sequence.n.01; all plant_part.n.01 sequence.n.01
all carbon.n.01 scientist.n.01, some-not carbon.n.01 chemical_element.n.01: some-not scientist.n.01 chemical_element.n.01; all scientist.n.01 chemical_element.n.01
all type.n.04 whole.n.02, some-not type.n.04 character.n.08: some-not whole.n.02 character.n.08; all whole.n.02 character.n.08
all medicine.n.02 poetess.n.01, some-not medicine.n.02 drug.n.01: some-not poetess.n.01 drug.n.01; all poetess.n.01 drug.n.01
all commodity.n.01 physical_entity.n.01, some-not commodity.n.01 artifact.n.01: some-not physical_entity.n.01 artifact.n.01; all physical_entity.n.01 artifact.n.01
all cut.v.01 entity.n.01, some-not cut.v.01 separate.v.02: some-not entity.n.01 separate.v.02; all entity.n.01 separate.v.02
