all wave.n.01 movement.n.03, no ending.n.04 movement.n.03: some-not wave.n.01 ending.n.04; all wave.n.01 ending.n.04
all rate.n.01 relation.n.01, no communication.n.02 relation.n.01: some-not rate.n.01 communication.n.02; all rate.n.01 communication.n.02
all expression.n.02 visual_communication.n.01, no language.n.01 visual_communication.n.01: some-not expression.n.02 language.n.01; all expression.n.02 language.n.01
all title.n.06 appellation.n.01, no title.n.02 appellation.n.01: some-not title.n.06 title.n.02; all title.n.06 title.n.02
all agent.n.01 causal_agent.n.01, no process.n.06 causal_agent.n.01: some-not agent.n.01 process.n.06; all agent.n.01 process.n.06
all snoop.n.01 spectator.n.01, no hearer.n.01 spectator.n.01: some-not snoop.n.01 hearer.n.01; all snoop.n.01 hearer.n.01
all pen.n.01 writing_implement.n.01, no sharpener.n.01 writing_implement.n.01: some-not pen.n.01 sharpener.n.01; all pen.n.01 sharpener.n.01
all vector.n.03 causal_agent.n.01, no process.n.06 causal_agent.n.01: some-not vector.n.03 process.n.06; all vector.n.03 process.n.06
all vaporization.n.02 phase_change.n.01, no oscillation.n.01 phase_change.n.01: some-not vaporization.n.02 oscillation.n.01; all vaporization.n.02 oscillation.n.01
all expression.n.01 countenance.n.01, no blemish.n.01 countenance.n.01: some-not expression.n.01 blemish.n.01; all expression.n.01 blemish.n.01
all covering.n.01 natural_object.n.01, no artifact.n.01 natural_object.n.01: some-not covering.n.01 artifact.n.01; all covering.n.01 artifact.n.01
all elementary_particle.n.01 natural_object.n.01, no artifact.n.01 natural_object.n.01: some-not elementary_particle.n.01 artifact.n.01; all elementary_particle.n.01 artifact.n.01
all payment.n.01 outgo.n.01, no inheritance.n.02 outgo.n.01: some-not payment.n.01 inheritance.n.02; all payment.n.01 inheritance.n.02
all regalia.n.01 gear.n.04, no satellite.n.01 gear.n.04: some-not regalia.n.01 satellite.n.01; all regalia.n.01 satellite.n.01
all screenwriter.n.01 scriptwriter.n.01, no compiler.n.01 scriptwriter.n.01: some-not screenwriter.n.01 compiler.n.01; all screenwriter.n.01 compiler.n.01
all aircraft.n.01 conveyance.n.03, no equipment.n.01 conveyance.n.03: some-not aircraft.n.01 equipment.n.01; all aircraft.n.01 equipment.n.01
all lord.n.03 aristocrat.n.01, no headman.n.02 aristocrat.n.01: some-not lord.n.03 headman.n.02; all lord.n.03 headman.n.02
all testimony.n.01 evidence.n.03, no news.n.02 evidence.n.03: some-not testimony.n.01 news.n.02; all testimony.n.01 news.n.02
all cooperation.n.01 group_action.n.01, no rejection.n.01 group_action.n.01: some-not cooperation.n.01 rejection.n.01; all cooperation.n.01 rejection.n.01
all photograph.n.01 representation.n.02, no composition.n.09 representation.n.02: some-not photograph.n.01 composition.n.09; all photograph.n.01 composition.n.09
all stone.n.02 building_material.n.01, no layer.n.01 building_material.n.01: some-not stone.n.02 layer.n.01; all stone.n.02 layer.n.01
all press.n.02 medium.n.01, no connection.n.03 medium.n.01: some-not press.n.02 connection.n.03; all press.n.02 connection.n.03
all loss.n.03 failure.n.01, no negligence.n.01 failure.n.01: some-not loss.n.03 negligence.n.01; all loss.n.03 negligence.n.01
all cutlery.n.02 article.n.02, no disk.n.02 article.n.02: some-not cutlery.n.02 disk.n.02; all cutlery.n.02 disk.n.02
all marchioness.n.02 lady.n.03, no queen.n.02 lady.n.03: some-not marchioness.n.02 queen.n.02; all marchioness.n.02 queen.n.02
all exhibitionist.n.01 compulsive.n.01, no advocate.n.01 compulsive.n.01: some-not exhibitionist.n.01 advocate.n.01; all exhibitionist.n.01 advocate.n.01
all apache.n.01 athapaskan.n.01, no shoshone.n.01 athapaskan.n.01: some-not apache.n.01 shoshone.n.01; all apache.n.01 shoshone.n.01
all founder.n.02 originator.n.01, no architect.n.01 originator.n.01: some-not founder.n.02 architect.n.01; all founder.n.02 architect.n.01
all agent.n.01 causal_agent.n.01, no matter.n.03 causal_agent.n.01: some-not agent.n.01 matter.n.03; all agent.n.01 matter.n.03
all craft.n.02 conveyance.n.03, no system.n.01 conveyance.n.03: some-not craft.n.02 system.n.01; all craft.n.02 system.n.01
all bonus.n.02 payment.n.01, no expense.n.01 payment.n.01: some-not bonus.n.02 expense.n.01; all bonus.n.02 expense.n.01
all ungulate.n.01 mammal.n.01, no bird.n.01 mammal.n.01: some-not ungulate.n.01 bird.n.01; all ungulate.n.01 bird.n.01
all loss.n.01 relation.n.01, no temperature.n.01 relation.n.01: some-not loss.n.01 temperature.n.01; all loss.n.01 temperature.n.01
all condition.n.01 state.n.02, no shape.n.02 state.n.02: some-not condition.n.01 shape.n.02; all condition.n.01 shape.n.02
all belief.n.01 cognition.n.01, no singing.n.01 cognition.n.01: some-not belief.n.01 singing.n.01; all belief.n.01 singing.n.01
all animation.n.03 trait.n.01, no shape.n.02 trait.n.01: some-not animation.n.03 shape.n.02; all animation.n.03 shape.n.02
all particle.n.02 natural_object.n.01, no artifact.n.01 natural_object.n.01: some-not particle.n.02 artifact.n.01; all particle.n.02 artifact.n.01
all pill.n.01 thing.n.04, no antiquity.n.03 thing.n.04: some-not pill.n.01 antiquity.n.03; all pill.n.01 antiquity.n.03
all pen.n.01 writing_implement.n.01, no tool.n.01 writing_implement.n.01: some-not pen.n.01 tool.n.01; all pen.n.01 tool.n.01
all benevolence.n.02 good.n.02, no righteousness.n.01 good.n.02: some-not benevolence.n.02 righteousness.n.01; all benevolence.n.02 righteousness.n.01
all party.n.04 affair.n.03, no show.n.03 affair.n.03: some-not party.n.04 show.n.03; all party.n.04 show.n.03
